country,year,dim1,hale,le,hale_yield
Afghanistan,2019,Both sexes,53.95,63.21,0.8535041923746243
Afghanistan,2019,Male,54.73,63.29,0.8647495654921789
Afghanistan,2019,Female,53.15,63.16,0.841513616212793
Afghanistan,2015,Both sexes,52.6,61.65,0.8532035685320357
Afghanistan,2015,Male,52.78,61.04,0.8646788990825688
Afghanistan,2015,Female,52.44,62.35,0.8410585404971932
Afghanistan,2010,Both sexes,51.13,59.94,0.8530196863530197
Afghanistan,2010,Male,51.51,59.6,0.8642617449664429
Afghanistan,2010,Female,50.75,60.3,0.8416252072968491
Afghanistan,2000,Both sexes,46.76,54.99,0.8503364248045099
Afghanistan,2000,Male,46.93,54.57,0.8599963349825912
Afghanistan,2000,Female,46.58,55.42,0.8404907975460122
Albania,2019,Both sexes,69.08,78.0,0.8856410256410256
Albania,2019,Male,68.0,76.25,0.8918032786885246
Albania,2019,Female,70.25,79.91,0.8791140032536604
Albania,2015,Both sexes,69.03,77.84,0.8868191161356629
Albania,2015,Male,67.99,76.1,0.8934296977660973
Albania,2015,Female,70.12,79.69,0.8799096498933368
Albania,2010,Both sexes,67.57,76.25,0.8861639344262294
Albania,2010,Male,66.34,74.23,0.8937087430957834
Albania,2010,Female,68.85,78.31,0.8791980589962967
Albania,2000,Both sexes,65.24,73.55,0.8870156356220258
Albania,2000,Male,63.15,70.65,0.8938428874734606
Albania,2000,Female,67.69,76.92,0.8800052002080083
Algeria,2019,Both sexes,66.39,77.13,0.8607545702061455
Algeria,2019,Male,66.72,76.23,0.875245966155057
Algeria,2019,Female,66.08,78.12,0.8458781362007167
Algeria,2015,Both sexes,65.99,76.54,0.8621635746015154
Algeria,2015,Male,66.33,75.65,0.8768010575016523
Algeria,2015,Female,65.67,77.5,0.8473548387096774
Algeria,2010,Both sexes,65.53,75.85,0.8639419907712591
Algeria,2010,Male,65.85,74.95,0.8785857238158772
Algeria,2010,Female,65.22,76.79,0.8493293397577809
Algeria,2000,Both sexes,62.71,72.21,0.8684392743387344
Algeria,2000,Male,62.63,70.94,0.8828587538765155
Algeria,2000,Female,62.8,73.54,0.8539570301876529
Angola,2019,Both sexes,54.84,63.06,0.8696479543292103
Angola,2019,Male,53.55,60.7,0.8822075782537067
Angola,2019,Female,56.21,65.52,0.857905982905983
Angola,2015,Both sexes,53.66,61.72,0.8694102397926118
Angola,2015,Male,52.18,59.13,0.8824623710468459
Angola,2015,Female,55.28,64.5,0.8570542635658915
Angola,2010,Both sexes,50.57,58.07,0.8708455312553814
Angola,2010,Male,49.27,55.78,0.8832915023305845
Angola,2010,Female,51.97,60.53,0.8585825210639352
Angola,2000,Both sexes,42.87,49.3,0.8695740365111562
Angola,2000,Male,41.18,46.77,0.8804789394911268
Angola,2000,Female,44.74,52.12,0.8584036838066003
Antigua and Barbuda,2019,Both sexes,66.97,76.45,0.875997383911053
Antigua and Barbuda,2019,Male,66.25,74.88,0.8847489316239316
Antigua and Barbuda,2019,Female,67.69,77.96,0.8682657773217035
Antigua and Barbuda,2015,Both sexes,66.81,76.14,0.8774625689519306
Antigua and Barbuda,2015,Male,65.94,74.43,0.8859330914953647
Antigua and Barbuda,2015,Female,67.66,77.76,0.8701131687242797
Antigua and Barbuda,2010,Both sexes,66.7,75.95,0.8782093482554312
Antigua and Barbuda,2010,Male,65.28,73.56,0.8874388254486134
